"meanImp","medianImp","minImp","maxImp","normHits","decision"
0.254826655385313,0.691815155371997,-2.23585656000818,2.15740849806069,0.0161290322580645,"Rejected"
1.34906177281344,1.3991441092002,-1.32994120049543,3.99533004720457,0.0806451612903226,"Rejected"
1.2246796570615,1.4543642304539,-1.0691569418148,3.41686131734678,0.193548387096774,"Rejected"
0.944997924621215,1.19001891976485,-2.83128904600527,3.40048001557958,0.0645161290322581,"Rejected"
1.0959932489203,1.04503470353088,-0.472683567521366,2.68181734374309,0,"Rejected"
7.89997984144272,7.99439354945175,4.86638048415112,11.9924333915875,0.967741935483871,"Confirmed"
8.47791502563463,8.48358841577956,2.5292854370791,13.2429287269652,0.967741935483871,"Confirmed"
6.79760666486461,6.9526190568193,4.0059446376453,11.6097999750061,0.983870967741935,"Confirmed"
4.1729375939382,4.31030898654176,1.07451573702132,6.85910336017418,0.741935483870968,"Confirmed"
70.4655378297382,70.485322944831,59.591350355455,79.27546227532,1,"Confirmed"
3.65198117956742,3.74620748499956,-0.294992555653467,7.21468859413389,0.67741935483871,"Confirmed"
